id,name,ingredients,time,description,calories,protein,fat,sugar,sodium,carbs,meat_ingredients,is_vegetarian
262,somebody stole my cookie  cookies,"corn syrup, sugar, peanut butter, rice krispies, chocolate chips, butterscotch chips",10,"bring the corn syrup and sugar to a boil stir in the peanut butter and pour the mixture over the cereal , stir put into a greased 9 x 13 pan melt the chocolate chips and the butterscotch chips , pour over the cereal mixture and spread evenly cool , cut into squares and eat",440.6,18,34,137,10,18,,1
263,souper  easy macaroni and cheese,"nacho cheese soup, cheddar cheese, milk, prepared mustard, black pepper, elbow macaroni, french-fried onions",45,preheat oven to 350f stir together first 5 ingredients until blended stir in macaroni spoon mixture into a lightly greased 11x7 baking dish bake at 350f for 25 minutes top with french fried onions and bake 5 more minutes,315.3,30,21,3,10,10,,1
264,special  salsa     for parties,"salsa, cream cheese, cheddar cheese, jalapenos",15,"mix salsa and cream cheese until desired consistency sprinkle with cheese microwave until cheese has melted you may either mix it in to the salsa and cream cheese , or just keep in on top to dip through you can also stick this in the fridge and chill , then sprinkle with cheese , for a cool yet spicy alternative !",138.1,10,18,6,18,1,,1
265,steel magnolias cuppa cake,"fruit cocktail in heavy syrup, self rising flour, white sugar",50,"mix ingredients and bake in 8"" square pan at 350 degrees until golden brown and bubbly serve with whipped cream or vanilla ice cream",174.7,3,0,122,8,14,,1
266,sweet dreams  shake,"milk, banana, honey",10,mix all ingredients in a blender until well blended serve immediately,325.0,18,14,126,5,18,,1
267,sweet  carrots,"boiling water, salt, carrots, margarine, sugar substitute, lemon juice, parsley",15,bring water to boil in saucepan add salt and carrots cover pan and cook until water is evaporated remove from heat add margarine and sugar substitute to taste toss with lemon juice and parsley serve immediately,49.6,1,4,10,9,1,,1
268,take me to spain  tortilla espanola  5fix,"olive oil, simply potatoes diced potatoes with onion, eggs, kosher salt, aioli",25,"heat 1 / 4 cup of the olive oil in a large nonstick pan over medium-high heat add the potatoes and cook for 15 - 20 minutes , stirring often , until the potatoes are soft transfer the cooked potatoes to a plate crack the eggs into a large bowl add the salt whisk until combined add the potato mixture to the eggs and stir until combined heat the remaining 1 / 4 cup olive oil in the pan over medium heat pour the potato / egg mixture into it cook for 5 - 8 minutes , until the the bottom is golden brown place a large plate over the pan and carefully flip the tortilla gently slide the tortilla back into the pan cook for 5 - 8 more minutes , until golden brown place the cooked tortilla espanola on a cutting board and cut into bite-sized pieces serve with garlic aioli for dipping",381.7,25,56,1,42,0,,1
269,the cake of wisdom,"carrots, ginger, lemon peel, eggs, honey, cinnamon, dry breadcrumbs, ground hazelnuts, cream cheese",65,clean the carrots and grate them finely add grated ginger and lemon peel preheat the oven to 180c grease a spring form divide the eggs cream egg yolks with 2 tbs warm water and the honey add cinnamon and bread crumbs as well as the carrot mixture and the hazelnuts beat the egg whites fold under dough fill the dough into the spring form and bake for approximately 40 minutes let cool for 20 minutes and then spread with icing,2335.8,131,255,443,45,57,,1
270,the ultimate brownie,"unsweetened chocolate squares, butter, eggs, sugar, vanilla, flour, salt, pecans",55,"preheat your oven to 365 degrees f and grease a 9x13 pan melt the chocolate and butter in pan over low heat and set aside just make sure it doesn't burn ! in a large bowl , beat the eggs , sugar , and vanilla at high speed doing this for 10 minutes would be ideal but your brownies won't be ruined if you don't mix in the chocolate / butter mix , flour , and salt until just combined fold in the nuts pour into the prepared pan and bake for 32-37 minutes",343.0,9,28,134,9,15,,1
271,the  marinade,"minced garlic cloves, mccormick's montreal brand steak seasoning, paprika, hot sauce, worcestershire sauce, red wine vinegar, extra virgin olive oil, flank steak",15,"mix all ingredients in a bowl , using a whisk is best to incorporate the oil place meat of choice into a ziploc bag and cover with marinade seal the bag and place in fridge until ready to cook , 2-4 hours or overnight turning a few times when ready to cook , remove from marinade and discard ziplock bag and remaining marinade grill flank steak until done to your liking",354.1,48,42,2,6,0,,1
272,tofu noodle  tuna casserole,"tofu shirataki noodles, 98% fat-free cream of mushroom soup, albacore tuna, frozen baby peas, black pepper, onion powder, salt, cheddar cheese",40,"drain tofu noodles using a scissors , cut them into 1-2"" pieces parboil for 2-3 minutes to remove the ""shirataki"" aroma from the noodles preheat oven to 375f spray a small casserole dish with non-stick cooking spray mix the noodles , soup , tuna , peas , and seasonings together in the dish add breadcrumbs to top if using , and sprinkle with a bit more black pepper bake , uncovered , for about 30 minutes , until casserole is hot and bubbly if you are adding cheese to the top , sprinkle it on about 20 minutes into baking",190.4,50,4,22,13,4,tuna,0
273,turn the oven off  cookies,"vanilla, chocolate chips, egg whites, sugar",20,"set oven , yes you still have to turn the oven on , for now , to 400 degrees cover a cookie sheet with foil beat egg whites until stiff add sugar , 1 / 8th at a time , beat until crystals disappear add vanilla and mix 2 minutes stir in chocolate chips drop by teaspoons onto cookie sheet turn oven off leave cookies in oven for 2 hours store in air tight container after cool",39.9,0,2,27,0,2,,1
274,tuxedo  chocolate covered strawberries,"strawberries, semi-sweet chocolate chips, white chocolate",75,"wash strawberries and dry well with a paper towel prepare a large baking sheet by lining with waxed paper in a medium sized , microwave-safe bowl , break up white chocolate into small pieces and melt , on medium power for approximately 4-6 minutes , checking and stirring every 2 minutes or so remove from microwave and dip strawberries one at a time , holding each berry by the stem / leaves , and dipping right up to the base of the stem / leaves place on baking sheet / waxed paper and repeat for all strawberries place sheet in refrigerator til white chocolate sets , about 15-20 minutes in another medium sized bowl , melt chocolate chips , using same time frame and power level as above grasp strawberries by stems again , dipping one side into the chocolate , then the other side , so that the brown chocolate makes a ""v"" shape visible from the front of the strawberry now , with a toothpick , ""paint"" on 2 or 3 buttons and a bow tie at the top of the berry with the brown chocolate cool on the baking sheet / waxed paper , in refrigerator , til chocolate is set strawberries will last 2-3 days in the refrigerator",183.1,3,16,84,0,8,,1
275,twist your own way  mayonnaise  this one is with garlic twist,"mayonnaise, garlic, olive oil, lemon juice, hot pepper sauce",7,whisk together all ingredients cover and store in the refrigerator i also love to sprinkle freshly ground black pepper whenever i put this on my sandwich,252.2,1,41,0,0,1,,1
276,u  wing it pork loin chops,"pork loin chops, olive oil, onion, garlic cloves, sour cream, horseradish, grainy mustard, ranch dressing, dry red wine",65,"brown chops in oil in a frying pan remove to casserole dish saute onion and garlic over high heat for 2 minutes add sour cream , horseradish , mustard , dressing and wine heat for 3 minutes pour over chops bake in preheated 350f oven for 1 hour or until done",628.9,84,69,14,21,2,pork,0
277,vodka still works,"angostura bitters, vodka, ginger beer",5,place the bitters in a tall glass and combine them with vodka using a cocktail spoon add ice to the glass then fill it with ginger beer and stir again serve with a straw,208.1,0,0,0,0,0,,1
278,weight watchers   ice cream  sandwiches del,"chocolate graham cracker, cool whip lite, raspberry spreadable fruit, miniature chocolate chips",1,break graham cracker in half spread fruit spread on top of one half spread cool whip on top of that sprinkle with chocolate chips top with other graham cracker half and squoosh down freeze eat,46.8,1,4,20,0,1,ham,0
279,whitt s  bbq sauce,"white vinegar, water, sugar, chili powder, black pepper, white pepper, red pepper, cayenne pepper",5,"mix all ingredients in jar or bottle , shake well tastes best when allowed to sit overnight",42.5,0,0,34,0,3,,1
280,wicked  chocolate chip muffins,"flour, sugar, baking powder, chocolate chips, butter, egg, milk",30,"pre-heat oven to 375 degrees grease and flour your muffin tray mix togeher the dry ingrediants & the chocolate chips in a medium bowl mix togeher , butter , egg & milk , and add to dry mixture do not over mix , 30 strokes should do it fill muffin tins 3 / 4 full and bake for 20 minutes enjoy !",331.6,10,24,96,9,15,,1
281,you like cheese   garlic bread spread,"mozzarella cheese, romano cheese, parmesan cheese, fresh coarse ground black pepper, garlic, extra virgin olive oil, fresh lemon juice",20,"in large mixing bowl , mix all ingredients together fold until all is blended keep refrigerated in mason jars with lids , or in containers with tightly fitting lids to make garlic bread , slice french bread and place on cookie sheet spoon spread onto bread toast , bake , or broil until cheese is bubbly and nicely browned",1057.9,102,136,8,67,5,,1
282,you won t believe they are baked  chicken fingers,"vegetable oil, boneless skinless chicken breast, yogurt, ketchup, dijon mustard, worcestershire sauce, pepper, corn flake crumbs",35,"preheat oven to 400 degrees farenheit brush baking sheet with oil cut each chicken breast into 4 or 5 strips place yogurt , ketchup , mustard , worcestershire and pepper in bowl and combine well add chicken pieces and coat well place cornflake crumbs on large plate one at a time , roll chicken fingers in crumbs and pat inches place chicken in single layer on baking sheet and bake for 15 minutes turn and bake for 10 to 12 minutes longer , or until crisp and cooked through",200.3,55,6,12,9,3,chicken,0
283,ber quick banoffee pudding   dessert,"banana, dulce de leche, digestive biscuits",20,"pre-heat your oven to 200c / 400f slice up the banana and place it on an over-sized sheet of tin foil dot the two tablespoons of dulche du leche over the top of the bananas bring the opposite corners of the foil together to make a little banana parcel bake in the oven for approximately 15 minutes while the banana is cooking , break your two digestive biscuits / graham crackers into little pieces in a bowl when the bananas are cooked , empty them and the dulche du leche out onto your digestive biscuits / graham crackers and mix well leave to cool for a minute or so and then eat it all up while it's nice and hot !",105.0,2,0,57,0,8,,1
284,57 chevy  alcoholic drink,"white creme de cacao, vodka, ice",5,combine over ice in rocks glass listen to bruce springsteen,69.4,0,0,0,0,0,,1
285,better than sex  cheese ball,"cream cheese, butter, green olives, green onion, walnuts",10,"soften the cream cheese and butter , then mix together in a bowl mix in green onion and olives form into a ball with your hands and roll the ball in the chopped walnuts chill for 2 to 3 hours or overnight serve with crackers or celery",133.6,3,21,0,3,0,,1
286,big mac  pizza,"thousand island dressing, prepared pizza crust, lean ground beef, colby-monterey jack cheese, bacon, dill pickle, prepared mustard, lettuce, tomatoes",20,"heat oven 400 spread dressing over pizza crust using less or more depending on your taste spread hamburger on top top with the cheese and bacon bake about 8 min until cheese is melted top with lettuce , pickles , tomatoe , onion , and mustard cut into slices and serve immediately i cut the pizza right after it comes out of the oven and let everybody top it themselves , with their favorite toppings",991.2,99,121,75,96,7,"bacon, beef",0
287,chinese buffet  green beans,"peanut oil, garlic cloves, fresh green beans, white sugar, oyster sauce, soy sauce",15,"heat peanut oil in a wok or large skillet over medium-high heat stir in the garlic , and cook until the edges begin to brown , about 20 seconds add the green beans cook and stir until the green beans begin to soften , about 5 minutes stir in the sugar , oyster sauce , and soy sauce continue cooking and stirring for several minutes until the beans have attained the desired degree of tenderness",85.8,5,5,27,17,4,oyster,0
288,denny s  vegetable beef barley soup,"ground beef, frozen mixed vegetables, barley, beef broth, tomatoes",40,"brown ground beef , add vegetables , tomatoes , barley , and broth salt and pepper to taste let it simmer for at least 30 minutes this is great for a crock pot , as the longer it cooks , the better it is",244.5,39,17,10,75,5,beef,0
289,get up   go  bars,"sugar, light corn syrup, peanut butter, grape-nuts cereal, rolled oats, sliced almonds, dried cranberries",10,"line a 9"" x 13"" baking dish with foil and coat the foil with nonstick cooking spray in a large saucepan , combine the sugar , corn syrup , and peanut butter over medium-high heat bring to a boil and cook for 1 minute , stirring constantly add the remaining ingredients mix well then spread evenly into the prepared pan let cool then cut into bars and serve , or cover until ready to serve",245.2,12,12,54,6,13,,1
290,good for you  berry truffles,"walnuts, dates, frozen raspberries, cocoa powder",20,"blend all , except crushed walnut or coconut , in a food processor , scraping sides occasionally till the mixture is smooth shape into small balls and roll in walnut or coconut store in refrigerator",93.8,3,10,25,0,3,,1
291,guacamole  dip,"avocados, sour cream, salsa",10,"cut avacado in half , remove seed , and scoop insides into a bowl mash the avacado like you would mash potatoes add salsa to taste i usually add about 1 / 2 the jar , or more depending on how many avacados i use mix avacado and salsa very well add sour cream to the mixture , to taste i usually add at least 4-8 oz of sour cream , but if i make a big batch i'll sometimes add more mine is usually a light color of green , but it is definately green",214.7,6,29,7,11,4,,1
292,ibarra  hot chocolate lovers,"milk, mexican chocolate, vanilla bean, whipped cream, ground cinnamon",25,warm the milk and chocolate in a saucepan scrape the seeds from the vanilla bean and add the seeds and bean to the milk stir with a molinillo or whisk until the chocolate is melted and the mixture begins to boil remove from the heat and froth the chocolate with the molinillo or the whisk serve immediately in ample sized mugs topping with the whipped cream a pinch of the ground cinnamon on the top of whipped cream,132.6,6,9,52,1,6,,1
293,lighter  hamburger stroganoff,"lean ground beef, butter, wine, onion, mushrooms, flour, fat-free chicken broth, nonfat sour cream, no yolks egg noodle substitute",15,"melt butter in large nonstick skillet add wine and onions cook until soft remove from skillet , set aside add meat to skillet cook thoroughly stir in flour slowly add broth while stirring add onion and drained mushrooms cook over med-low until thickened , stirring occasionally remove from heat add sour cream and heat through serve over cooked noodles",215.9,37,13,18,15,4,"beef, chicken",0
294,lite  stuffed mushrooms,"mushrooms, 2% fat cottage cheese, jalapeno pepper, garlic cloves, cayenne pepper",20,"place the mushrooms in a baking dish mix cottage cheese , jalapeno and garlic spoon into the mushroom caps sprinkle with cayenne or chile have oven rack in second position down in the oven turn on broiler and broil the mushrooms until the cottage cheese is bubbly and slightly brown serve warm",37.2,10,1,5,3,1,,1
295,neezy peazy lunch,"onion, olive oil, frozen peas and carrot, water, diced tomatoes, salt and pepper",35,"fry the onion with the olive oil in a saucepan until they are soft add the frozen peas and carrots add the water , but don't cover the vegetables with it , as the steam will also cook the vegetables cook on a medium heat , stirring now and again , until the vegetables have softened keep an eye on the water level add the diced tomatoes salt and pepper to season bring to the boil and then simmer for about 5 minutes serve with basmati rice",195.5,18,7,17,17,11,,1
296,ohana cheesy scalloped potatoes  walt disney world,"potato, heavy cream, cheddar cheese, parmesan cheese, sweet onion, kosher salt, black pepper",80,place a layer of potato slices and onion in a buttered shallow dish sprinkle with some of the cheeses and salt and pepper repeat layers and then pour cream over the potatoes bake at 350 for 1 hour and then let stand 5 minutes,336.4,12,38,5,22,7,,1
297,po  wo man s cobbler,"sugar, flour, milk, butter, peaches",48,"mix all ingredients except for the fruit and juice into your baking dish pour , do not mix , the fruit and juice into the above mixture bake at 375 degrees for 40-45 minutes to an hour",2729.7,68,162,1257,32,145,,1
298,sesame  noodles with peanut sauce,"garlic, natural-style peanut butter, soy sauce, sugar, hot chili oil, rice wine, spaghetti, green onions",30,"mince the garlic in a food processor , stopping occasionally to scrape down the sides add peanut butter , soy sauce , sugar , chili oil and rice wine puree 1 minute and allow sauce to stand for 1 to 2 hours to allow flavors to develop put the spaghetti in a large bowl top with sauce mix until the pasta strands are evenly coated garnish with green onions",472.5,36,18,60,56,24,,1
299,sin amon brown sugar oatmeal,"water, ground cinnamon, vanilla extract, splenda brown sugar blend, i can't believe it's not butter spread, rolled oats",7,"heat water , brown sugar blend and cinnamon to a boil add vanilla , oats and icbnb spray turn heat down to a simmer , cook about 3-5 minutes depending on what consistency you like for your oatmeal",178.3,10,4,10,0,10,,1
300,so simple  cauliflower mash,"cauliflower florets, ranch salad dressing, green onion, salt and pepper",30,"bring water to boiling in a large saucepan add cauliflower cook 15 minutes or until cauliflower is very tender drain cauliflower return to saucepan add dressing , salt and pepper mash until cauliflower is light and fluffy sprinkle with sliced onions before serving more dressing can be added to achieve desired consistency and taste",83.4,5,8,14,5,2,,1
301,spring in your step  smoothie  raw food,"papaya, pineapple, honeydew melon",5,put all 3 ingredients into a blender bowl & blend until smooth ! pour into two tall glasses & enjoy !,165.5,4,0,122,0,14,,1
302,sweet  broccoli salad,"broccoli, bacon, sharp cheddar cheese, red onion, vinegar, sugar, mayonnaise, miracle whip",20,"combine first 4 ingredients in a large bowl and mix combine remaining ingredients to make dressing pour dressing over broccoli mixture and mix well refrigerate if this is going to sit a while before serving , i suggest you wait to add the bacon until just before you serve to keep the bacon crisp",510.2,24,56,87,31,11,bacon,0
303,taco  hot dogs,"hot chili sauce, hot chili peppers, hot dogs, hot dog buns, lettuce, cheddar cheese",20,combine chili sauce and chili pepper cook hot dogs in boiling water reduce heat cover & simmer 5-8 minutes place hot dogs on toasted buns spoon chili sauce mixture over hot dogs top with shredded lettuce and cheese,302.6,22,27,18,48,7,,1
304,tis the season coconut macaroons,"flaked coconut, sweetened condensed milk, vanilla extract, chocolate chips",24,"preheat oven to 350 line your pans with parchment paper so your cookies won't stick combine coconut , sweetened condensed milk and vanilla extract in large bowl stir in morsels drop by level tablespoon on prepared baking sheets press each cookie lightly with back of spoon bake for 10 to 14 minutes or until lightly browned around edges remove to wire racks to cool completely store loosely covered at room temperature",1305.9,33,100,606,23,58,,1
305,winter  marinara,"whole tomatoes, extra virgin olive oil, garlic cloves, onion, dried basil, ground cinnamon, beef stock, salt, pepper",70,"in a medium sized saucepan heat olive oil over medium heat add onion , garlic , basil , salt , pepper , and cinnamon cook mixture until onion and garlic are translucent , 5-7 minutes , stirring occasionally reduce heat if onions and / or garlic start to brown empty the tomatoes into a separate bowl using your hands , squeeze and crush each tomato add the tomatoes and juice to the onion and garlic mixture add the cup of beef stock over medium heat , continue cooking uncovered until sauce reduces by 1 / 3 , stirring occasionally to make sure sauce doesn't burn use the sauce in a meaty lasagna or sub it for any other sauce in any other recipe for a change",113.3,5,11,25,32,3,beef,0
306,leftover   turkey biryani with red onion and cilantro,"sunflower oil, carrots, red onions, basmati rice, hot chicken stock, turkey, curry paste, cilantro",35,"add the oil to a large flameproof casserole dish and set it over a medium heat add the carrots and onions , and cook for 5-6 minutes until the onions are softened add the rice , pour over the stock , then add the turkey stir in the curry paste and bring to the boil reduce the heat then cover and simmer gently for about 15 minutes , until the rice is tender and the liquid has been absorbed stir in the cilantro , then divide between serving bowls serve with poppadoms and mango chutney",504.9,51,21,18,28,22,"chicken, turkey",0
307,terribly impressive   chorizo puffs,"chorizo sausages, olive oil, water, butter, salt, plain flour, eggs",35,"heat oven to 200c / 400f skin the sausages and crumble the meat into a hot pan fry til nice and brown , then drain on paper towel heat butter , water and salt in a heavy saucepan as soon as the butter is melted and water boiling , add all the flour lower the heat and stir like crazy , til the dough pulls away from the sides and forms a ball keep cooking and stirring for another couple of minutes , then chuck into the processor and blend for 15 seconds add the eggs and blend another 45 seconds stir the sausage meat into the mix , then drop teaspoons full onto a greased / lined tray bake at 200c for 10 to 15 minutes - til golden and serve asap won't last long --",72.5,5,7,0,6,1,sausage,0
308,add adjective here  apple crisp,"rolled oats, flour, brown sugar, salt, cinnamon, butter, apples",60,"blend everything but the apples place apples in a greased 8x8 pan , and cover with oat mix bake at 350 degrees for 30 minutes",162.6,3,8,63,4,9,,1
309,almost  no fat chocolate cake,"unsweetened cocoa, all-purpose flour, baking powder, baking soda, egg whites, dark brown sugar, plain fat-free yogurt, vanilla extract, powdered sugar",50,"preheat oven to 350f spray the bottom and sides of a 10-inch spring-form pan with nonstick cooking spray dust the pan with 1 tablespoon cocoa and tap out the excess to prepare batter: in a medium bowl , sift together 1 / 3 cup plus 1 tablespoon cocoa , flour , baking power and baking soda set aside in a large bowl , with an electric mixer , beat egg whites , brown sugar , yogurt and vanilla until blended , about 1 to 2 minutes on medium speed mix in dry ingredients by hand or on low mixer speed until just moistened do not over-mix pour batter into prepared pan and bake for about 35 minutes , or until a toothpick inserted in the center comes out clean cool in the pan on a wire rack for 15 minutes then use a knife to loosen the sides of the cake from the pan remove the ring and cool completely on a rack serve the cake on the metal bottom of the pan to prepare the topping: in a small bowl , combine the remaining tablespoon of cocoa with the powdered sugar place the mixture in a small fine sieve and dust the top of cake before serving",196.2,11,1,124,9,14,,1
310,awesome   our family cranberry salad,"cranberries, pecans, sugar, lemon jell-o gelatin, celery, hot water, crushed pineapple",30,mince up the cranberries usually takes a bag and half to get 3 cups chop the nuts med to small in size mix the lemon jello and hot water and pour in a 9x13 glass baking dish mix in the sugar and stir to dissolve chop up celery in small pieces open the pineapple can add all the remaining ingredients to the jello and cover with plastic wrap and chill in refrigerator until it sets and serve when your ready,388.3,8,10,300,7,27,,1
311,balalit  saweeya or seviyan  sweet vermicelli breakfast,"rice vermicelli, sugar, ground cardamom, rose water, olive oil, saffron, water",43,"place vermicelli on oven trays under broiler until golden brown watch carefully may need turning to colour all remove from oven and cook in 3 liters of boiling water for precisely 3 minutes drain and set aside in a large pan mix the other tbls oil or butter with sugar , cardamom , saffron , and rose water stirring over medium heat add the vermicelli , stirring to combine , let it cook over very low heat for 1 / 2 hour serve warm",666.0,7,11,199,9,48,,1
312,chive  goat cheese mashed potatoes,"baking potatoes, garlic cloves, sour cream, soft fresh goat cheese, butter, salt, pepper, fresh chives",80,"peel potatoes and cut in half crosswise in a large pot of boiling salted water , cover and cook potatoes and garlic until tender , 25-30 minutes drain and return to pot dry over low heat , shaking pan , about 1 minute press through ricer - you could mash but it will not be as smooth or creamy optional - warm goat cheese , and sour cream in the microwave on low for 2 minutes mix sour cream , goat cheese , butter , salt and pepper into potatoes and stir smooth add chives if using put into a casserole dish or 13x9 baking dish if making ahead - up to 2 days - cool and refrigerate cover and bake at 400f for 30 minutes , or microwave on high for 10-12 minutes if cold add 10 minutes to baking time in the oven",269.3,14,25,7,15,8,goat,0
313,copycat  chi chi s cornbread,"jiffy corn muffin mix, egg, creamed corn, butter, sugar",25,preheat oven to 350 degrees mix all ingredients together bake in a greased 9x13 pan for 20-25 minute,262.4,7,13,81,18,14,,1
314,copycat  la madeline s tomato basil soup,"whole canned tomatoes, tomato juice, basil leaves, cream, sweet unsalted butter, salt, black pepper",45,"combine tomatoes , tomato juice and broth in a saucepan and simmer for 30 minutes puree with basil in the blender make sure that this is smooth - i always strain it return to saucepan add cream and butter while stirring over low heat serve and enjoy !",305.0,7,42,38,32,4,,1
315,don t eat the  yellow snowman cookies,"lemon cake mix, vegetable oil, eggs, flaked coconut, decorative candies, miniature chocolate chip, candy sprinkles",17,"heat oven to 350f in large bowl , combine cake mix , oil and eggs beat until well mixed place coconut in shallow bowl for each cookie , use a cookie dough scoop to shape a 1-1 / 2-inch ball for the body , and a melon baller to shape a 1 / 2-inch ball for the head roll each ball in coconut place on ungreased cookie sheet with smaller ball touching larger ball place cookies 1-1 / 2-inches apart bake at 350 for 10-12 minutes or until coconut just begins to brown immediately press eyes into head and buttons down the front of the snowman's body for each cookie remove from cookie sheet to cool , taking care not to let the head separate from the body !",141.9,3,10,43,6,6,,1
316,fooled ya   spaghetti sauce,"spaghetti sauce, carrot, frozen peas, wax bean",40,prepare vegetables & steam until soft add more water as needed so water continues to boil heat up spaghetti sauce add one cup of sauce to blender along with two cups steamed vegetables close top & place kitchen towel over top puree be careful -- this is hot stuff ! empty into clean pot repeat until all the vegetables are pureed add some water if sauce is too thick for your taste serve over spaghetti you may change the vegetables to meet your needs,139.2,8,6,63,34,7,,1
317,leftover  chicken  spinach and yellow pepper rice,"olive oil, yellow pepper, medium-grain white rice, white wine, chicken stock, cooked chicken, baby spinach leaves, salt & freshly ground black pepper",30,"place the stock in a small saucepan and bring to simmering point meanwhile , heat the olive oil in a large saucepan add the yellow pepper and fry , stirring often , until the pepper has softened but not browned add the rice and continue cooking and stirring for 1-2 minutes , until the rice is translucent and shiny pour the wine into the pan of rice and simmer until it has almost evaporated add a ladle of the hot stock to the rice and cook , stirring constantly , over a low heat until the liquid has been absorbed continue adding the stock to the rice a little at a time and stirring until the liquid has been absorbed , for about 17 minutes when the rice is almost done , add the chicken and the spinach leaves and stir to mix evenly allow to heat through for 2-3 minutes , then adjust the seasoning to taste with salt and pepper and serve hot",485.8,40,14,18,17,23,chicken,0
318,leftover  rice pudding,"rice, milk, sugar, salt, nutmeg, vanilla, raisins, cinnamon",30,"combine all ingredients in a saucepan heat over medium-high and stir often until milk and rice thicken , about 20 minutes or so put into dessert cups and chill until ready to eat",418.1,17,7,95,6,28,,1
319,make ahead  flaky sausage foldovers,"hot pork sausage, garlic powder, pizza sauce, refrigerated pie crusts, egg",40,"heat oven to 425 degrees in skillet , cook sausage over medium high heat 6-8 minutes , stirring occasionally until thoroughly cooked drain well stir in garlic powder and 1 / 4 cup of the pizza sauce remove 1 crust from pouch on work surface , roll into 15-inch round with 3-inch round cutter , cut 11 rounds repeat with second crust spoon about 1 t sausage mixture onto each round fold each in half seal edges with fork cut small slit in top of each with sharp knife place on ungreased large cookie sheet brush each foldover with beaten egg if desired , cut decorative shapes from remaining dough and attach with beaten egg bake 9-11 minutes or until golden brown meanwhile , in 1-quart saucepan , heat remaining pizza sauce until hot serve warm appetizers with warm pizza sauce for dipping to make ahead , follow the recipe directions through step 3 freeze the foldovers on the cookie sheet until firm , then transfer to a resealable freezer plastic bag use within two months to serve , remove the desired number of appetizers from the bag and bake according to the recipe directions , adding about 5 minutes",138.8,6,12,4,7,4,"pork, sausage",0
320,my own lazy day recipe   chicken noodle soup,"boneless skinless chicken breasts, carrot, water, fat free chicken broth, cream of chicken soup, dry fettuccine",35,grate carrot and cook with chicken in chicken broth and 4 cups water cook chicken about 10 minutes then add noodles and cook till done add cream of chicken soup and cook about 5 minutes longer mmm mmm good,315.2,36,10,7,28,15,chicken,0
321,not  fried zucchini,"zucchini, balsamic vinegar, fresh rosemary, garlic cloves, salt, pepper, nonstick cooking spray",45,"cut the zucchini into thin wedges in a shallow bowl , whisk together the vinegar , rosemary , and garlic add salt and pepper to taste add the zucchini and toss so that all the sticks are thoroughly coated allow the zucchini to absorb the marinade for 2-3 minutes coat a baking sheet with nonstick cooking spray arrange the zucchini on the prepared baking sheet roast at 375 for 25 to 30 minutes , or until dark brown",19.2,2,0,6,0,1,,1
322,potatoes with garlic and cheese  pommes de terre a l ail,"bacon, olive oil, red potatoes, salt and black pepper, gruyere cheese, garlic, parsley, double cream",55,"wipe out a heavy cast iron deep frypan with an oiled paper cut the bacon into 1 / 2 inch wide strips , and over a mediium heat cook until crisp and golden coloured , then add the oil and a first layer of potatoes season well with salt and pepper and cover with a layer of grated cheese continue filling the dish with alternate layers of seasoned potatoes and cheese until the dish is full sprinkle with finely chopped garlic and parsley cover the dish and place over a low heat cook for 30 minutes shaking the dish occasionally but do not stir the contents when the potatoes are tender when pierced with a pointed knife , pour the cream over the surface , replace the lid and cook for a further 3 to 4 minutes serve the gratin immediately either in the dish or turned out on to a heated serving dish , crusted side uppermost",354.7,22,35,6,11,8,bacon,0
323,potatoes  pommes anna,"potatoes, butter, salt and black pepper",55,"heat oven to 375 degrees peel the potatoes and slice them thinly thickly butter a deep charlotte mould and line the sides with potato slices placed closely to gether and attached firmly to the butter cover the bottom also and sprinkle lightly with salt , freshly ground pepper and flecks of butter , cover with another layer of potatoes , seasoning and butter and so on until the tin is three-quarters full cover with buttered paper and cook for 45 minutes or until tender when pierced with a sharply pointed knife to serve , pass the blade of a knife around the inside of the tin , hold a heated plate over it and invert , giving a sharp tap as the plate is set down to turn out the contents the inside should be soft and the outside crust crisp and golden brown",285.9,6,29,4,6,8,,1
324,potatoes  pommes lyonnaise,"potatoes, onions, butter, pork fat, salt and pepper, parsley",80,"peel and slice the potatoes very thinly peel and slice the onions medium-fine heat the oven to 350 degrees melt the butter and pork fat , , in a large iron frying pan over a medium low heat and add the onions , cooking them for 4 to 5 minutes until transparent before adding the potatoes season well with salt and pepper turn them over occasionally with a wooden spatula and when they have coloured to the blond stage , mix in the parsley empty the contents of the pan into a large oval gratin dish and cook very slowly in the oven for at least 1 hour or until browned and crusted on the surface and melting underneath",253.0,7,20,11,2,10,pork,0
325,raw  angel hair zucchini  pasta  with fresh pesto,"zucchini, green tomato, extra virgin olive oil, sea salt, fresh ground black pepper, pine nuts, basil leaves, fresh basil leaves, garlic",30,"using a vegetable peeler or a spiral vegetable slicer , slice the outer zucchini flesh into lenthwise strips , discaring any seeds stack the strips and then slice them into thinner ""noodles"" place the zucchini noodles in a medium bowl and add chopped tomato , olive oil , sea salt , and pepper place all pesto ingredients in a blender and puree until smooth , with just a few nuts visible for texture gently toss the zucchini and tomato mixture with just enough pesto to coat season with additional salt and pepper if desired garnish with pine nuts and basil leaves and serve",374.7,10,57,22,31,3,,1
